KODA;SLOVENSKI NAZIV;ANGLEŠKI NAZIV
V41.73;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, potniški kombi;Car occupant injured in collision with pedal cycle, person on outside of vehicle, traffic accident, passenger van
V41.78;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with pedal cycle, person on outside of vehicle, traffic accident, other specified car [automobile]
V41.79;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, oseba na zunanji strani avtomobila, poškodovana v prometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with pedal cycle, person on outside of vehicle, traffic accident, unspecified car [automobile]
V41.9;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi;Car occupant injured in collision with pedal cycle, unspecified car occupant, traffic accident
V41.90;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, limuzina (sedan);Car occupant injured in collision with pedal cycle, unspecified car occupant, traffic accident, sedan
V41.91;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with pedal cycle, unspecified car occupant, traffic accident, all-terrain four-wheel drive
V41.92;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with pedal cycle, unspecified car occupant, traffic accident, four-wheeled motorcycle
V41.93;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, potniški kombi;Car occupant injured in collision with pedal cycle, unspecified car occupant, traffic accident, passenger van
V41.98;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with pedal cycle, unspecified car occupant, traffic accident, other specified car [automobile]
V41.99;Oseba v avtomobilu, poškodovana pri trčenju s kolesom, neopredeljena oseba v avtomobilu, poškodovana v prometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with pedal cycle, unspecified car occupant, traffic accident, unspecified car [automobile]
V42;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom;Car occupant injured in collision with two- or three-wheeled motor vehicle
V42.0;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v neprometni nezgodi;Car occupant injured in collision with two- or three-wheeled motor vehicle, driver, nontraffic accident
V42.00;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v neprometni nezgodi, limuzina (sedan);Car occupant injured in collision with two- or three-wheeled motor vehicle, driver, nontraffic accident, sedan
V42.01;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v neprometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with two- or three-wheeled motor vehicle, driver, nontraffic accident, all-terrain four-wheel drive
V42.02;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v neprometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with two- or three-wheeled motor vehicle, driver, nontraffic accident, four-wheeled motorcycle
V42.03;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v neprometni nezgodi, potniški kombi;Car occupant injured in collision with two- or three-wheeled motor vehicle, driver, nontraffic accident, passenger van
V42.08;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v neprometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with two- or three-wheeled motor vehicle, driver, nontraffic accident, other specified car [automobile]
V42.09;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, voznik, poškodovan v neprometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with two- or three-wheeled motor vehicle, driver, nontraffic accident, unspecified car [automobile]
V42.1;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v neprometni nezgodi;Car occupant injured in collision with two- or three-wheeled motor vehicle, passenger, nontraffic accident
V42.10;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v neprometni nezgodi, limuzina (sedan);Car occupant injured in collision with two- or three-wheeled motor vehicle, passenger, nontraffic accident, sedan
V42.11;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v neprometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with two- or three-wheeled motor vehicle, passenger, nontraffic accident, all-terrain four-wheel drive
V42.12;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v neprometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with two- or three-wheeled motor vehicle, passenger, nontraffic accident, four-wheeled motorcycle
V42.13;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v neprometni nezgodi, potniški kombi;Car occupant injured in collision with two- or three-wheeled motor vehicle, passenger, nontraffic accident, passenger van
V42.18;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v neprometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with two- or three-wheeled motor vehicle, passenger, nontraffic accident, other specified car [automobile]
V42.19;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, potnik, poškodovan v neprometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with two- or three-wheeled motor vehicle, passenger, nontraffic accident, unspecified car [automobile]
V42.2;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi;Car occupant injured in collision with two- or three-wheeled motor vehicle, person on outside of vehicle, nontraffic accident
V42.20;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, limuzina (sedan);Car occupant injured in collision with two- or three-wheeled motor vehicle, person on outside of vehicle, nontraffic accident, sedan
V42.21;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with two- or three-wheeled motor vehicle, person on outside of vehicle, nontraffic accident, all-terrain four-wheel drive
V42.22;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with two- or three-wheeled motor vehicle, person on outside of vehicle, nontraffic accident, four-wheeled motorcycle
V42.23;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, potniški kombi;Car occupant injured in collision with two- or three-wheeled motor vehicle, person on outside of vehicle, nontraffic accident, passenger van
V42.28;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with two- or three-wheeled motor vehicle, person on outside of vehicle, nontraffic accident, other specified car [automobile]
V42.29;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, oseba na zunanji strani avtomobila, poškodovana v neprometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with two- or three-wheeled motor vehicle, person on outside of vehicle, nontraffic accident, unspecified car [automobile]
V42.3;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi;Car occupant injured in collision with two- or three-wheeled motor vehicle, unspecified car occupant, nontraffic accident
V42.30;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, limuzina (sedan);Car occupant injured in collision with two- or three-wheeled motor vehicle, unspecified car occupant, nontraffic accident, sedan
V42.31;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, terenski štirikolesnik;Car occupant injured in collision with two- or three-wheeled motor vehicle, unspecified car occupant, nontraffic accident, all-terrain four-wheel drive
V42.32;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, štirikolesno motorno vozilo;Car occupant injured in collision with two- or three-wheeled motor vehicle, unspecified car occupant, nontraffic accident, four-wheeled motorcycle
V42.33;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, potniški kombi;Car occupant injured in collision with two- or three-wheeled motor vehicle, unspecified car occupant, nontraffic accident, passenger van
V42.38;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, drug opredeljen avtomobil;Car occupant injured in collision with two- or three-wheeled motor vehicle, unspecified car occupant, nontraffic accident, other specified car [automobile]
V42.39;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, neopredeljena oseba v avtomobilu, poškodovana v neprometni nezgodi, neopredeljen avtomobil;Car occupant injured in collision with two- or three-wheeled motor vehicle, unspecified car occupant, nontraffic accident, unspecified car [automobile]
V42.4;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, oseba, poškodovana med vstopanjem ali izstopanjem;Car occupant injured in collision with two- or three-wheeled motor vehicle, while boarding or alighting
V42.40;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, oseba, poškodovana med vstopanjem ali izstopanjem, limuzina (sedan);Car occupant injured in collision with two- or three-wheeled motor vehicle, while boarding or alighting, sedan
V42.41;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, oseba, poškodovana med vstopanjem ali izstopanjem, terenski štirikolesnik;Car occupant injured in collision with two- or three-wheeled motor vehicle, while boarding or alighting, all-terrain four-wheel drive
V42.42;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, oseba, poškodovana med vstopanjem ali izstopanjem, štirikolesno motorno vozilo;Car occupant injured in collision with two- or three-wheeled motor vehicle, while boarding or alighting, four-wheeled motorcycle
V42.43;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, oseba, poškodovana med vstopanjem ali izstopanjem, potniški kombi;Car occupant injured in collision with two- or three-wheeled motor vehicle, while boarding or alighting, passenger van
V42.48;Oseba v avtomobilu, poškodovana pri trčenju z dvo- ali s trokolesnim motornim vozilom, oseba, poškodovana med vstopanjem ali izstopanjem, drug opredeljen avtomobil;Car occupant injured in collision with two- or three-wheeled motor vehicle, while boarding or alighting, other specified car [automobile]
